ID,Type,Recovery,SacTime,Sodium,Potassium,tCO2,CK,Glucose,CA,BUN,AST,TBIL,ALB,TP,GLOB,WBC,AbsLYM,AbsMON,AbsNEU,LYp,MOp,NEp,RBC,HGB,HCT,MCV,MCH,MCHC,RDWc,PLT,PCT,MPV,PDWc
m190190,EHS,hit2rec7,hr3,156,5.1,15,411,161,9.7,49,391,0.3,4.3,5.8,1.5,1.18,0.27,0.08,0.83,23.2,6.6,70.2,8.82,15.7,36.34,41,17.8,43.2,16.6,667,0.36,5.5,28.5
m190222,EHS,hit2rec7,hr3,154,5.3,12,645,220,9.9,63,324,0.3,4.4,5.9,1.5,9.48,5.06,1.01,3.42,53.3,10.6,36,10.14,15.4,41.81,41,15.2,36.8,17.2,340,0.21,6.2,36.6
m190234,EHS,hit2rec7,hr3,154,4.7,19,537,170,10.2,53,356,0.3,4.1,5.8,1.7,1.37,0.53,0.09,0.75,38.5,6.3,55.2,10.52,15,42.91,41,14.2,34.9,17.5,836,0.46,5.5,29.1
m200028,EHS,hit2rec7,hr3,159,5.2,13,406,163,10.2,49,301,0.3,4.4,6.1,1.6,0.81,0.34,0.04,0.43,41.5,5.5,53.1,10.73,16,44.35,41,14.9,36.1,17.2,874,0.48,5.5,29.1
m200042,EHS,hit2rec7,hr3,156,5.4,22,361,148,9.7,46,416,0.3,4.2,5.6,1.3,0.65,0.18,0.05,0.42,27.4,8.4,64.2,10.07,15.1,41.57,41,15,36.4,16.9,869,0.48,5.5,29.1
m190001,EHS,hit2rec7,d1,147,6,25,223,250,9.4,15,86,0.5,3.5,4.6,1.1,13.24,8.9,1.05,3.3,67.2,7.9,24.9,8.78,13.6,36.07,41,15.4,37.6,17.2,302,0.2,6.6,37.4
m190007,EHS,hit2rec7,d1,149,5.3,24,835,221,9.5,18,188,0.4,3.7,4.4,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190050,EHS,hit2rec7,d1,144,4.8,16,514,261,9.5,19,471,0.5,3.6,4.5,0.9,10.53,7.93,0.06,2.54,75.3,0.6,24.1,7.73,13.2,32.29,42,17,40.8,17.2,142,0.09,6.4,36.6
m190060,EHS,hit2rec7,d1,146,5.8,26,362,221,8.9,17,100,0.5,3.7,4.7,0.9,6.31,5.28,0.3,0.73,83.7,4.8,11.5,9.67,13.2,39.92,41,13.6,33,17.2,620,0.36,5.8,30.2
m190144,EHS,hit2rec7,d1,145,5.5,18,445,201,8.9,15,218,0.7,3.4,4.4,0.9,6.92,5.09,0.27,1.55,73.6,4,22.4,8.68,12.9,37.21,43,14.8,34.6,17.1,485,0.28,5.7,30.2
m190156,EHS,hit2rec7,d1,147,5.1,16,475,234,9.3,26,182,0.3,3.5,4.4,0.9,13.02,8.94,0.08,4.01,68.6,0.6,30.8,8.65,12.2,36.48,42,14.1,33.4,16.8,120,0.07,6.2,35.6
m200015,EHS,hit2rec7,d1,151,6.2,23,225,233,9,16,88,0.5,3.4,4.4,1,2.87,2.4,0.1,0.36,83.7,3.7,12.7,8.19,10.6,33.54,41,12.9,31.6,16.9,108,0.07,6.7,36.6
m200041,EHS,hit2rec7,d1,148,5.8,24,370,236,9.2,20,193,0.3,3.6,4.8,1.3,6.42,4.73,0.37,1.33,73.5,5.8,20.7,8.32,11.3,34.11,41,13.6,33.3,17.2,418,0.29,6.9,36
m200050,EHS,hit2rec7,d1,149,5.4,27,140,179,9.6,16,61,0.7,2.9,4.3,1.4,16.44,13.43,2,1,81.7,12.2,6.1,8.33,12.3,34.96,42,14.8,35.3,17.5,233,0.14,6.1,33.8
m200004,EHS,hit2rec7,d7,137,4.4,24,184,200,8.3,24,58,0.3,3.6,4.5,0.9,14.25,8.69,0.1,5.46,61,0.7,38.3,9.12,13.1,37.44,41,14.3,34.9,17.2,110,0.06,5.9,33.4
m200005,EHS,hit2rec7,d7,146,5.7,21,143,187,9.3,25,47,0.5,3,4.9,1.9,4.53,3.65,0.2,0.69,80.5,4.3,15.2,9.54,13,39.45,41,13.6,33,18.2,942,0.56,5.9,29.1
m200006,EHS,hit2rec7,d7,151,4.9,20,201,221,9.6,27,67,0.4,3.6,4.8,1.2,18.94,13.31,1.56,4.08,70.3,8.2,21.5,8.54,12.9,34.68,41,15.1,37.3,16.9,161,0.1,6.3,35.6
m200016,EHS,hit2rec7,d7,149,6,28,136,226,9,22,46,0.5,3.5,4.6,1.1,7.92,6.37,0.27,1.29,80.3,3.4,16.3,9.31,13.1,37.78,41,14.1,34.7,17.5,740,0.42,5.7,29.1
m200017,EHS,hit2rec7,d7,149,5.7,27,217,227,9.5,25,67,0.5,3.7,4.7,1,14.22,11.82,0.08,2.33,83.1,0.5,16.4,9.24,12.7,38.39,42,13.8,33.2,17.2,469,0.29,6.2,33
m200018,EHS,hit2rec7,d7,150,5.2,22,167,189,9.2,26,63,0.4,3.5,4.8,1.3,8.77,7.19,0.22,1.37,82,2.5,15.6,8.98,12.6,36.89,41,14,34,17.2,667,0.41,6.2,29.6
m200030,EHS,hit2rec7,d7,152,5,27,216,199,9.9,29,71,0.4,3.8,4.8,1,10.08,7.89,0.54,1.64,78.3,5.4,16.3,9.08,13,37.62,41,14.3,34.4,17.5,578,0.33,5.7,29.6
m190067,EXC,hit1,min30,146,4.7,16,294,224,9.8,24,80,0.4,3.9,4.9,1,2.34,2,0.1,0.24,85.5,4.3,10.2,9.2,13.4,37.91,41,14.5,35.2,17.2,720,0.43,5.9,29.1
m190080,EXC,hit1,min30,149,4.9,16,600,231,10.2,29,138,0.3,4.2,5.2,1.1,6.08,3.79,0.51,1.79,62.2,8.4,29.3,9.4,13.4,38.96,41,14.3,34.4,16.6,357,0.22,6.2,30.7
m190099,EXC,hit1,min30,149,5,13,390,234,10.1,27,103,0.4,4.4,5.3,0.9,11.95,8.23,0.07,3.65,68.9,0.6,30.5,9.93,13.1,41.07,41,13.2,31.9,16.9,247,0.15,6.1,35.6
m190112,EXC,hit1,min30,149,4.8,13,457,188,10,21,126,0.4,4.2,5.2,1,3.75,3.04,0.09,0.62,81.1,2.4,16.5,10.14,14.3,42.51,42,14.1,33.6,17.5,510,0.34,6.7,30.2
m190131,EXC,hit1,min30,149,4,18,540,204,10.1,31,130,0.4,4.4,5.2,0.7,11.94,8.61,0.07,3.26,72.1,0.6,27.3,9.43,13.4,38.94,41,14.2,34.3,16.9,146,0.09,6.4,35.6
m190169,EXC,hit1,min30,148,4.8,22,222,186,9.9,25,86,0.4,4,4.9,0.9,2.03,1.76,0.08,0.2,86.5,3.8,9.7,8.91,13.4,37.78,42,15,35.3,17.4,521,0.31,6,30.7
m190236,EXC,hit1,min30,152,5.2,19,434,227,10.1,28,146,0.4,3.8,5.3,1.5,7.02,4.76,0.47,1.79,67.7,6.8,25.5,9.54,13.1,39.01,41,13.8,33.6,16.9,420,0.25,5.9,31.2
m190068,EXC,hit1,hr3,147,4.8,13,845,213,10.1,31,189,0.3,4,5.1,1.1,13.73,10.92,0.97,1.85,79.5,7.1,13.4,9.86,13.4,40.74,41,13.6,32.9,16.9,294,0.19,6.4,36.6
m190081,EXC,hit1,hr3,148,5.1,20,271,196,9.6,31,87,0.3,3.9,5.1,1.2,5.84,4.01,0.2,1.63,68.6,3.5,27.9,9.37,13.6,38.77,41,14.5,35.1,16.9,562,0.33,5.8,29.6
m190100,EXC,hit1,hr3,148,4.9,21,488,203,10.4,33,117,0.3,4.2,5.1,0.8,10.03,7.81,0.06,2.16,77.9,0.6,21.6,9.06,13.1,37.46,41,14.5,35,16.9,401,0.28,6.9,33.4
m190113,EXC,hit1,hr3,150,4.6,24,293,219,9.5,32,165,0.4,4.4,5.4,1,14.72,10.84,1.02,2.86,73.6,6.9,19.4,9.95,13.4,41.89,42,13.5,32,17.2,236,0.15,6.5,36.6
m190132,EXC,hit1,hr3,147,4.9,15,325,192,9.6,31,91,0.4,4.2,5,0.8,10.3,7.85,0.72,1.73,76.2,7,16.8,9.66,13.4,39.98,41,13.9,33.6,16.9,373,0.26,7.1,39.6
m190145,EXC,hit1,hr3,148,5,22,579,207,9.4,36,149,0.2,4.3,5.2,0.9,11,8.3,0.06,2.64,75.4,0.6,24,9.44,13.4,38.98,41,14.2,34.5,17.5,192,0.12,6.3,36.6
m190157,EXC,hit1,hr3,148,4.7,16,241,199,9.7,33,161,0.4,4.3,5.2,0.9,9.29,7.73,0.54,1.03,83.2,5.8,11,9.46,13.4,38.5,41,14.2,34.9,16.6,440,0.28,6.4,35
m190012,EXC,hit1,d1,150,5.2,25,472,201,10,26,111,0.5,4.1,5,0.9,14.98,11.08,1.9,2,74,12.7,13.3,9.09,13.4,37.86,42,14.8,35.5,16.8,111,0.07,6.3,34.6
m190094,EXC,hit1,d1,149,6.4,18,1513,253,10,25,286,0.5,4.2,5.1,0.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190101,EXC,hit1,d1,153,4.8,22,210,226,9.8,26,58,0.3,4,4.9,0.9,6.64,5.86,0.02,0.76,88.2,0.4,11.4,9.7,13.7,41.29,43,14.1,33.1,16.6,654,0.39,6,29.1
m190114,EXC,hit1,d1,149,5.2,20,299,182,9.5,23,90,0.5,3.8,4.8,1,8.29,6.93,0.31,1.05,83.5,3.8,12.7,9.62,13.7,40.14,42,14.2,34.1,16.6,631,0.35,5.6,29.6
m190146,EXC,hit1,d1,.,.,.,.,.,.,.,.,.,.,.,.,11.54,9.19,0.47,1.88,79.6,4.1,16.3,9.34,13.1,38.97,42,14,33.6,16.8,396,0.23,5.9,30.2
m190158,EXC,hit1,d1,145,4.6,14,386,258,9.9,26,97,0.4,3.7,4.7,0.9,8.02,6.26,0.45,1.32,78,5.6,16.4,8.69,12.5,37.55,43,14.4,33.4,16.8,436,0.28,6.4,30.7
m190211,EXC,hit1,d1,148,5.1,27,237,222,9,22,74,0.6,3.8,4.8,1,17.89,14.74,0.1,3.05,82.4,0.6,17.1,8.13,13.7,33.95,42,16.8,40.3,16.6,222,0.13,6.1,31.7
m190223,EXC,hit1,d1,148,4.7,17,163,200,9.5,23,62,0.4,3.7,4.9,1.2,14.77,11.97,0.74,2.07,81,5,14,9.23,13.1,38.86,42,14.2,33.7,16.6,444,0.29,6.5,30.7
m190235,EXC,hit1,d1,147,4.9,18,282,245,9.3,20,87,0.5,3.2,4.9,1.7,8.87,6.86,0.43,1.58,77.4,4.8,17.8,9.32,13.4,38.81,42,14.4,34.5,16.6,581,0.31,5.4,28.5
m190069,EXC,hit1,d7,147,5.2,21,267,169,9.3,22,80,0.6,3.6,4.5,0.9,10.3,9.26,0.13,0.91,89.9,1.3,8.8,9.14,13.4,39.18,43,14.7,34.2,17.4,508,0.28,5.5,29.1
m190082,EXC,hit1,d7,147,5,19,817,202,9.8,22,172,0.4,3.6,4.8,1.2,8.13,6.41,0.07,1.65,78.9,0.8,20.3,9.08,14,38.05,42,15.4,36.8,16.8,606,0.34,5.7,29.6
m190095,EXC,hit1,d7,146,5.1,20,371,230,9.7,27,89,0.5,3.7,4.7,1,9.47,8.02,1.1,0.35,84.7,11.6,3.7,8.75,13.1,36.4,42,14.9,35.9,17.2,630,0.38,6,29.1
m190133,EXC,hit1,d7,149,4.6,21,158,209,9.9,28,47,0.4,3.6,4.8,1.2,7.95,6.97,0.43,0.56,87.6,5.4,7,9.37,12.5,39.02,42,13.3,32,17.2,641,0.35,5.4,28.5
m190205,EXC,hit1,d7,151,5.3,25,192,220,9.9,22,64,0.5,3.7,5,1.3,12.99,11.03,0.63,1.33,84.9,4.9,10.2,8.94,13.3,37.33,42,14.8,35.5,16.6,493,0.32,6.5,31.7
m200007,EXC,hit1,d7,149,5,27,118,243,9.6,27,44,0.3,3.8,4.9,1.1,10.18,8.72,0.42,1.04,85.6,4.1,10.3,9.33,13.2,38.26,41,14.1,34.4,17.2,495,0.29,5.8,30.2
m200019,EXC,hit1,d7,145,4.9,18,175,190,9.4,27,59,0.4,3.5,4.7,1.2,11.63,8.88,0.07,2.68,76.3,0.6,23.1,9.07,13.1,37.31,41,14.4,35.1,16.6,394,0.22,5.7,30.2
m190035,EXC,hit2rec1,min30,144,4.5,16,325,257,9.9,20,103,0.5,4.2,5,0.8,4.85,2.93,0.45,1.47,60.5,9.2,30.3,9.64,14.1,39.9,41,14.6,35.4,16.6,505,0.29,5.7,32.6
m190036,EXC,hit2rec1,min30,148,4.4,16,617,258,10.3,23,140,0.5,4.5,5.4,0.9,11.18,7.02,1.03,3.13,62.8,9.2,28,10.14,14.3,42.43,42,14.2,33.8,16.6,100,0.07,6.7,35.6
m190039,EXC,hit2rec1,min30,147,5,15,689,273,10,17,161,0.4,4.1,5,0.9,6.93,4.04,0.96,1.93,58.3,13.9,27.8,8.77,13.5,37.46,43,15.3,35.9,16.3,261,0.15,5.8,31.7
m190040,EXC,hit2rec1,min30,149,4.8,22,1308,226,10.4,19,245,0.3,4.3,5.1,0.9,12.88,10.09,0.08,2.71,78.4,0.6,21.1,10.01,14.3,42.85,43,14.3,33.4,17.1,332,0.2,6,33
m190096,EXC,hit2rec1,min30,150,4.6,18,269,214,9.7,30,103,0.4,4.1,5.1,1,8.46,6.61,0.05,1.8,78.1,0.6,21.3,9.58,13.5,40.66,42,14.1,33.2,16.8,509,0.31,6.2,29.6
m190134,EXC,hit2rec1,min30,151,5,18,330,225,10.5,25,143,0.4,4.3,5.4,1,6.79,5.42,0.34,1.03,79.9,5,15.1,10.05,14.6,42.2,42,14.6,34.7,16.9,578,0.32,5.6,29.1
m190135,EXC,hit2rec1,min30,152,5,20,762,228,10.1,26,178,0.4,4.5,5.3,0.8,10.26,6.44,0.06,3.76,62.8,0.6,36.6,9.7,14.2,40.19,41,14.6,35.2,17.2,162,0.11,7,37.4
m200020,EXC,hit2rec1,min30,149,4.5,20,216,210,9.3,28,77,0.4,3.8,5,1.2,6.21,5.07,0.31,0.83,81.7,5,13.3,9.52,12.9,38.82,41,13.6,33.3,16.9,535,0.31,5.8,31.2
m190071,EXC,hit2rec1,hr3,153,5,18,340,191,9.8,26,92,0.4,4.2,5.3,1.1,4.32,3.47,0.18,0.67,80.4,4.1,15.5,9.19,13.7,37.95,41,14.9,36.2,16.3,686,0.41,6,29.1
m190084,EXC,hit2rec1,hr3,151,4.8,23,455,255,10.4,30,117,0.3,4.3,5.3,1,2.49,2.22,0.08,0.19,89.3,3,7.7,9.61,13.3,41.1,43,13.8,32.4,16.8,752,0.41,5.4,27.9
m190091,EXC,hit2rec1,hr3,149,4.8,17,318,194,9.5,30,87,0.4,3.8,4.9,1.1,10.65,7.92,0.79,1.95,74.3,7.4,18.3,9.15,13,37.45,41,14.2,34.6,18.1,612,0.42,6.8,34.6
m190102,EXC,hit2rec1,hr3,149,5.2,18,188,217,9.7,27,119,0.4,4.3,5.4,1,4.85,4.3,0.21,0.34,88.8,4.3,7,8.57,14.4,36.67,43,16.8,39.3,16.3,672,0.37,5.5,27.2
m190115,EXC,hit2rec1,hr3,151,4.8,22,503,281,10.1,29,125,0.4,4.4,5.4,1,1.2,1.06,0.06,0.08,87.9,5.1,7,9.18,14.1,37.79,41,15.4,37.3,17.2,592,0.33,5.6,29.6
m190136,EXC,hit2rec1,hr3,153,5.8,22,489,192,10.1,27,145,0.4,4.4,5.3,0.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200008,EXC,hit2rec1,hr3,152,4.7,24,173,197,9.4,28,70,0.3,4.1,5.1,1,3.62,3.44,0.1,0.08,95,2.7,2.3,9.22,13.4,37.5,41,14.5,35.7,16.9,769,0.45,5.9,27.9
m190018,EXC,hit2rec1,d1,147,5.1,24,342,265,9.9,18,77,0.4,3.3,4.4,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190028,EXC,hit2rec1,d1,147,5,25,170,184,9.6,16,66,0.6,3.7,4.6,0.9,8.56,7.68,0.04,0.83,89.8,0.5,9.7,9.03,13.2,38.84,43,14.6,34,17.4,512,0.29,5.6,29.1
m190070,EXC,hit2rec1,d1,148,5,19,450,187,9.4,23,112,0.5,3.9,4.8,1,11.04,9.28,0.46,1.3,84.1,4.2,11.8,9.69,13.5,40.78,42,13.9,33.1,16.6,559,0.37,6.6,30.2
m190083,EXC,hit2rec1,d1,151,5.3,27,377,208,9.8,24,110,0.6,3.9,4.9,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190103,EXC,hit2rec1,d1,150,5,22,388,211,9.8,22,98,0.4,4.1,4.9,0.8,14.74,10.99,0.08,3.67,74.5,0.6,24.9,8.44,11.6,35.25,42,13.7,32.8,16.3,162,0.11,6.9,37.4
m190116,EXC,hit2rec1,d1,152,5.2,28,379,214,9.9,27,97,0.5,4.3,5,0.8,13.65,11.53,0.14,1.98,84.5,1,14.5,10.08,14,42.31,42,13.9,33.1,17.2,596,0.38,6.4,30.7
m200031,EXC,hit2rec1,d1,153,5.3,24,189,215,9.7,27,66,0.3,3.4,4.8,1.3,9.63,7.82,0.46,1.34,81.3,4.8,13.9,7.67,13.1,31.6,41,17.1,41.5,16.6,544,0.3,5.4,28.5
m190019,EXC,hit2rec1,d7,146,5.1,22,145,224,9.6,24,52,0.4,3.8,5,1.1,7.14,5.97,0.37,0.8,83.6,5.2,11.2,9.99,13.6,41.08,41,13.6,33.1,16.9,749,0.46,6.2,29.1
m190029,EXC,hit2rec1,d7,147,5.4,18,538,203,9.8,21,128,0.4,3.3,4.6,1.3,15.68,10.83,0.91,3.94,69,5.8,25.2,9.87,14.1,40.44,41,14.3,34.9,17.5,245,0.15,6,34.6
m190072,EXC,hit2rec1,d7,147,5.2,23,306,237,9.9,22,84,0.5,4,4.9,0.9,5.62,4.53,0.17,0.92,80.5,3.1,16.4,9.62,13.4,39.66,41,14,33.9,16.3,575,0.38,6.6,31.7
m190085,EXC,hit2rec1,d7,148,5.1,20,386,208,9.8,23,88,0.4,3.7,4.5,0.8,12.11,10.18,0.57,1.36,84.1,4.7,11.2,9.11,13.1,37.77,41,14.3,34.6,16.6,529,0.34,6.4,30.2
m190104,EXC,hit2rec1,d7,147,5,20,355,205,9.9,26,96,0.5,3.9,4.9,1,14.45,11.3,0.93,2.22,78.2,6.4,15.4,10.16,14.2,41.89,41,14,33.8,16.6,416,0.26,6.3,33.8
m190117,EXC,hit2rec1,d7,147,5.3,21,344,202,9.7,25,92,0.5,3.9,4.9,1,11.57,9.55,0.69,1.34,82.5,5.9,11.6,10.32,14.8,43.26,42,14.3,34.2,16.9,514,0.31,6,31.2
m190212,EXC,hit2rec1,d7,147,5,22,284,244,9.3,26,81,0.4,3.8,4.9,1,9.45,8.56,0.24,0.65,90.6,2.6,6.9,8.78,13,37.17,42,14.8,34.9,16.8,511,0.31,6,29.6
m190224,EXC,hit2rec1,d7,147,5.1,22,403,212,9.7,28,105,0.4,3.7,4.9,1.2,12.95,9.13,1.32,2.5,70.5,10.2,19.3,9.26,13.3,37.48,40,14.3,35.4,16.9,222,0.15,6.6,37.4
m190147,EXC,hit2rec3,min30,147,4.6,15,505,255,9.6,26,143,0.4,4.3,5.3,0.9,3.05,1.82,0.02,1.21,59.6,0.7,39.7,10.2,14.5,41.86,41,14.2,34.6,16.9,632,0.41,6.5,29.6
m190159,EXC,hit2rec3,min30,.,.,.,.,.,.,.,.,.,.,.,.,5.65,4.5,0.17,0.98,79.6,3.1,17.3,9.67,13.4,40.05,41,13.9,33.6,16.6,597,0.34,5.6,28.5
m190172,EXC,hit2rec3,min30,147,5.2,15,1373,307,8.9,22,254,0.3,4,4.8,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190183,EXC,hit2rec3,min30,148,4.8,16,350,233,10.5,26,132,0.4,4.1,5.4,1.3,1.14,1.01,0.06,0.07,88.4,5.3,6.3,9.71,13.8,39.59,41,14.2,34.9,17.2,746,0.44,5.9,28.5
m190207,EXC,hit2rec3,min30,153,4.5,14,714,246,10.5,28,231,0.4,4.3,5.5,1.2,11.43,7.19,1.14,3.11,62.9,9.9,27.2,9.64,14.1,40.71,42,14.7,34.7,16.6,168,0.11,6.3,35.6
m190208,EXC,hit2rec3,min30,149,4.2,15,206,202,9.7,29,165,0.4,4,5.3,1.2,2.82,2.44,0.06,0.32,86.6,2.1,11.3,9.13,13.6,38.12,42,14.9,35.7,17.2,594,0.37,6.3,30.2
m200033,EXC,hit2rec3,min30,149,4.7,19,202,241,9.9,25,66,0.4,3.7,4.9,1.2,4.08,3.31,0.18,0.59,81.2,4.4,14.4,9.15,13.2,37.61,41,14.4,35.1,16.6,578,0.34,5.9,30.2
m190148,EXC,hit2rec3,hr3,149,4.5,22,697,233,10,31,165,0.4,4.3,5.2,0.9,15.14,11.82,1.19,2.13,78.1,7.8,14,8.93,13,36.96,41,14.5,35.1,16.6,218,0.14,6.3,34.6
m190160,EXC,hit2rec3,hr3,149,5.1,20,1293,228,9.8,25,268,0.4,4.3,5.1,0.9,3.52,3.1,0.14,0.28,88.2,3.9,7.9,8.03,12.2,32.62,41,15.1,37.3,16.9,30,0.02,5.6,32.2
m190171,EXC,hit2rec3,hr3,151,4.9,19,166,181,10,30,88,0.4,4.1,5.1,1.1,4.93,4.11,0.61,0.22,83.3,12.3,4.4,9.62,14.4,40.3,42,15,35.7,17.2,690,0.38,5.5,29.1
m190194,EXC,hit2rec3,hr3,148,5,22,251,224,9.3,32,79,0.3,3.8,5.3,1.5,7.38,6.69,0.19,0.5,90.7,2.6,6.8,9.42,14.1,38.96,41,14.9,36.1,17.5,538,0.31,5.8,30.7
m190195,EXC,hit2rec3,hr3,147,4.7,13,1005,225,10,25,212,0.4,4.1,5,0.9,9.51,7.27,0.32,1.92,76.4,3.4,20.2,9.32,13.9,38.89,42,14.9,35.7,16.6,56,0.03,5.8,32.2
m190238,EXC,hit2rec3,hr3,151,5.2,17,574,222,9.7,28,139,0.3,3.8,5.2,1.4,7.35,5.67,0.89,0.78,77.2,12.2,10.7,7.45,11.1,30.84,41,14.9,35.9,16.3,125,0.1,7.7,39.6
m200034,EXC,hit2rec3,hr3,152,5,26,283,189,9.6,31,87,0.4,4,5.2,1.2,9.11,7.79,0.53,0.8,85.4,5.8,8.7,7.96,14,32.93,41,17.6,42.5,16.9,344,0.21,6,30.2
m190041,EXC,hit2rec3,d1,152,5.3,25,1001,181,9.6,21,242,0.4,4.2,5.2,1,14.38,11.17,0.08,3.13,77.7,0.6,21.8,9.15,13.2,37.62,41,14.5,35.2,16.3,75,0.04,5.6,32.2
m190042,EXC,hit2rec3,d1,148,4.7,19,206,207,9.4,22,65,0.5,4,4.8,0.8,12.24,10.84,0.38,1.01,88.6,3.1,8.3,9.71,13.8,40.14,41,14.2,34.5,16.9,638,0.4,6.2,29.1
m190051,EXC,hit2rec3,d1,149,4.9,24,369,185,9.7,26,101,0.6,4.1,4.9,0.9,14.29,12.01,0.93,1.35,84.1,6.5,9.4,10,13.9,41.84,42,13.9,33.2,16.9,480,0.34,7,33.4
m190052,EXC,hit2rec3,d1,149,5.6,22,469,221,10,22,110,0.4,3.8,4.9,1.1,18.32,13.21,1.52,3.59,72.1,8.3,19.6,9.7,13.2,40.09,41,13.6,33,17.5,190,0.13,6.6,36.6
m190170,EXC,hit2rec3,d1,148,5.2,25,425,218,9.6,20,98,0.5,3.9,4.7,0.8,11.19,8.33,0.71,2.15,74.4,6.3,19.2,9.68,14,39.76,41,14.5,35.2,16.3,441,0.25,5.7,29.1
m190182,EXC,hit2rec3,d1,151,5.3,28,230,202,10,22,74,0.5,3.7,4.9,1.2,14.17,11.07,0.38,2.72,78.1,2.7,19.2,9.61,13.9,39.12,41,14.4,35.5,16.6,568,0.38,6.7,32.2
m190213,EXC,hit2rec3,d1,145,5.2,16,344,231,9.1,23,97,0.5,3.6,4.7,1.1,9.96,8.03,0.26,1.67,80.6,2.6,16.8,9.29,13.5,38.21,41,14.5,35.4,16.6,416,0.23,5.6,29.6
m190225,EXC,hit2rec3,d1,148,5.2,27,214,213,9.5,24,75,0.5,3.6,5,1.4,12.2,10.24,1.5,0.46,83.9,12.3,3.8,9.12,13.5,38.35,42,14.8,35.3,16.6,539,0.31,5.7,29.6
m190237,EXC,hit2rec3,d1,150,5.2,26,248,235,9.7,23,79,0.5,3.4,4.9,1.5,9.97,7.9,0.19,1.88,79.2,1.9,18.9,9.31,13.8,38.34,41,14.8,36,16.3,595,0.33,5.6,29.1
m200059,EXC,hit2rec3,d7,152,4.7,25,172,258,9.5,22,52,0.4,3.6,4.7,1,9.95,8.3,0.48,1.18,83.3,4.8,11.9,9.64,13.2,40.27,42,13.7,32.8,17.2,599,0.38,6.3,29.1
m200060,EXC,hit2rec3,d7,151,5.1,28,181,225,10.1,25,62,0.5,3.2,4.9,1.7,16,11.72,1.25,3.03,73.3,7.8,18.9,9.89,13.7,40.98,41,13.8,33.4,16.6,296,0.18,6,35.6
m200061,EXC,hit2rec3,d7,152,4.6,25,359,225,10,26,89,0.4,3.8,5,1.2,19.55,13.89,2.01,3.64,71.1,10.3,18.6,8.94,13.1,36.71,41,14.6,35.6,16.9,147,0.09,6.5,35.6
m200062,EXC,hit2rec3,d7,151,5.4,27,182,219,10,26,50,0.4,4,5.2,1.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m200063,EXC,hit2rec3,d7,151,5.4,27,233,200,9.9,27,75,0.4,3.3,4.9,1.6,6.24,4.89,0.38,0.97,78.4,6.1,15.5,9.08,13.3,36.89,41,14.6,36,16.9,626,0.35,5.6,27.9
m200064,EXC,hit2rec3,d7,151,5,28,186,216,9.7,28,62,0.5,3.2,4.8,1.6,7.42,6.41,0.25,0.76,86.4,3.3,10.3,8.6,12.4,34.75,40,14.5,35.8,16.6,623,0.35,5.6,28.5
m190149,EXC,hit2rec7,min30,147,4.6,14,359,195,10.4,29,101,0.4,3.9,4.9,1,2.2,1.92,0.06,0.21,87.5,2.9,9.7,8.86,12.9,37.14,42,14.6,34.7,17.7,533,0.3,5.6,29.1
m190161,EXC,hit2rec7,min30,148,4.6,12,140,239,9.7,27,98,0.4,4.1,5,1,0.86,0.8,0.01,0.05,92.7,1.2,6.1,9.52,13.5,38.97,41,14.1,34.5,17.2,709,0.38,5.4,27.2
m190174,EXC,hit2rec7,min30,146,4.3,13,192,222,9.9,26,96,0.4,4.3,5.2,1,0.77,0.7,0.03,0.04,90.2,4.4,5.4,9.84,14.5,40.6,41,14.8,35.8,16.6,674,0.36,5.4,27.9
m190186,EXC,hit2rec7,min30,152,4.5,22,265,232,9.9,31,137,0.4,4.5,5.4,1,1.83,1.6,0.09,0.14,87.3,5.2,7.5,9.24,13.8,37.76,41,14.9,36.5,16.3,762,0.42,5.5,28.5
m190197,EXC,hit2rec7,min30,149,4.5,21,337,258,9.9,23,102,0.4,4.2,5.5,1.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
m190198,EXC,hit2rec7,min30,.,.,.,.,.,.,.,.,.,.,.,.,1.23,1,0.07,0.16,81.3,5.6,13.2,9.63,14,39.33,41,14.5,35.5,17.5,651,0.35,5.4,28.5
m200009,EXC,hit2rec7,min30,148,4.9,21,274,230,9.8,30,105,0.3,3.8,5.2,1.4,0.85,0.8,0.02,0.03,94,2.1,3.8,9.54,13.2,39.05,41,13.8,33.7,17.2,781,0.42,5.3,28.5
m190006,EXC,hit2rec7,hr3,150,4.6,23,138,273,9.8,28,52,0.4,4.2,5.1,0.9,17.04,12.66,0.1,4.28,74.3,0.6,25.1,9.5,14.2,39.92,42,14.9,35.5,16.8,580,0.38,6.6,31.7
m190173,EXC,hit2rec7,hr3,149,4.5,15,185,218,9.6,29,69,0.4,4.3,5.2,0.9,7.35,5.9,0.34,1.11,80.3,4.6,15.1,9.56,14,39.56,41,14.7,35.4,17.2,607,0.39,6.3,29.6
