"","ID","Type","Recovery","SacTime","Sodium","Potassium","tCO2","CK","Glucose","CA","BUN","AST","TBIL","ALB","TP","GLOB","WBC","AbsLYM","AbsMON","AbsNEU","LYp","MOp","NEp","RBC","HGB","HCT","MCV","MCH","MCHC","RDWc","PLT","PCT","MPV","PDWc","log_CK","log_AST"
"180","m190091","EXC","hit2rec1","hr3",149,4.8,17,318,194,9.5,30,87,0.4,3.8,4.9,1.1,10.65,7.92,0.79,1.95,74.3,7.4,18.3,9.15,13,37.45,41,14.2,34.6,18.1,612,0.42,6.8,34.6,576.205138278018,446.590811865458
"181","m190102","EXC","hit2rec1","hr3",149,5.2,18,188,217,9.7,27,119,0.4,4.3,5.4,1,4.85,4.3,0.21,0.34,88.8,4.3,7,8.57,14.4,36.67,43,16.8,39.3,16.3,672,0.37,5.5,27.2,523.644196282995,477.912349311153
"182","m190115","EXC","hit2rec1","hr3",151,4.8,22,503,281,10.1,29,125,0.4,4.4,5.4,1,1.2,1.06,0.06,0.08,87.9,5.1,7,9.18,14.1,37.79,41,15.4,37.3,17.2,592,0.33,5.6,29.6,622.059017009974,482.83137373023
"183","m190136","EXC","hit2rec1","hr3",153,5.8,22,489,192,10.1,27,145,0.4,4.4,5.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619.236248947487,497.673374242057
"184","m200008","EXC","hit2rec1","hr3",152,4.7,24,173,197,9.4,28,70,0.3,4.1,5.1,1,3.62,3.44,0.1,0.08,95,2.7,2.3,9.22,13.4,37.5,41,14.5,35.7,16.9,769,0.45,5.9,27.9,515.329159449778,424.849524204936
"185","m190018","EXC","hit2rec1","d1",147,5.1,24,342,265,9.9,18,77,0.4,3.3,4.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583.481073706261,434.380542185368
"186","m190028","EXC","hit2rec1","d1",147,5,25,170,184,9.6,16,66,0.6,3.7,4.6,0.9,8.56,7.68,0.04,0.83,89.8,0.5,9.7,9.03,13.2,38.84,43,14.6,34,17.4,512,0.29,5.6,29.1,513.579843705026,418.965474202642
"187","m190070","EXC","hit2rec1","d1",148,5,19,450,187,9.4,23,112,0.5,3.9,4.8,1,11.04,9.28,0.46,1.3,84.1,4.2,11.8,9.69,13.5,40.78,42,13.9,33.1,16.6,559,0.37,6.6,30.2,610.924758276437,471.849887129509
"188","m190083","EXC","hit2rec1","d1",151,5.3,27,377,208,9.8,24,110,0.6,3.9,4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593.224518744801,470.048036579242
"189","m190103","EXC","hit2rec1","d1",150,5,22,388,211,9.8,22,98,0.4,4.1,4.9,0.8,14.74,10.99,0.08,3.67,74.5,0.6,24.9,8.44,11.6,35.25,42,13.7,32.8,16.3,162,0.11,6.9,37.4,596.100533962327,458.496747867057
